Ürün Adı,Ürün Kodu,Fiyat (USD),CAS Numarası,Marka
"ISOTEX ÇOKLU BALON ISITICI - 250 ml. 6'lı","98-IV-B","414","",ISOTEX
"ISOTEX ÇOKLU BALON ISITICI - 500 ml. 6'lı","98-IV-B","484","",ISOTEX
"ISOTEX ÇOKLU BALON ISITICI - 1000 ml. 6'lı","98-IV-B","545","",ISOTEX
"ISOTEX VORTEX - 2000 Rpm","ISOTEX-01","92","",ISOTEX
"ISOTEX VAKUM POMPASI - Yağlı","ISOTEX-02","321","",ISOTEX
"ISOTEX SANTRİFÜJ CİHAZI - ANALOG 20 ML x 6 LI","800-D","102","",ISOTEX
"ISOTEX SANTRİFÜJ CİHAZI - ANALOG 15 ML x 8 Lİ","ΚΑ-1000","321","",ISOTEX
"ISOTEX SANTRİFÜJ CİHAZI - DİJİTAL 20 ML x 12 Lİ","80-2A","355","",ISOTEX
"ISOTEX REFRAKTOMETRE - 0-20 ALİMÜNYUM","ISOTEX-03","45","",ISOTEX
"ISOTEX REFRAKTOMETRE - 0-32 ALİMÜNYUM","ISOTEX-04","45","",ISOTEX
"ISOTEX REFRAKTOMETRE - 0-80 BAKIR","ISOTEX-05","59","",ISOTEX
"ISOTEX REFRAKTOMETRE - 0-90 BAKIR","ISOTEX-06","59","",ISOTEX
"ISOTEX REFRAKTOMETRE - 45-82 BAKIR","ISOTEX-07","59","",ISOTEX
"ISOTEX MİKROSKOP - Monoküler 400 büyütme","VCM-116DL","151","",ISOTEX
"ISOTEX MİKROSKOP - Monoküler 400 büyütme","VCM-F","174","",ISOTEX
"ISOTEX MİKROSKOP - Monoküler 1000 büyütme","VCM-68F","302","",ISOTEX
"ISOTEX MİKROSKOP - Binoküler 1500 büyütme","","407","",ISOTEX
"ISOTEX SU BANYOSU - 5 lt.","WH-2","191","",ISOTEX
"ISOTEX SU BANYOSU - 12 lt.","WH-4","218","",ISOTEX
"ISOTEX SU BANYOSU - 16 lt","WH-6","242","",ISOTEX
"ISOTEX SU BANYOSU - 5 lt. sirkülasyonlu","WH-2C","307","",ISOTEX
"ISOTEX SU BANYOSU - 12 lt. sirkülasyonlu","WH-4C","409","",ISOTEX
"ISOTEX SU BANYOSU - 16 lt. sirkülasyonlu","WH-6C","506","",ISOTEX
"ISOTEX HOT PLATE (ISITICI TABLA) ANALOG - 3030 cm","SH-5A","338","",ISOTEX
"ISOTEX HOT PLATE (ISITICI TABLA) ANALOG - 3545 cm","SH-6A","389","",ISOTEX
"ISOTEX HOT PLATE (ISITICI TABLA) ANALOG - 4040 cm","SH-7A","460","",ISOTEX
"ISOTEX HOT PLATE (ISITICI TABLA) ANALOG - 3560 cm","SH-8A","578","",ISOTEX
"ISOTEX HOT PLATE (ISITICI TABLA) ANALOG - 4060 cm","SH-9A","592","",ISOTEX
"ISOTEX HOT PLATE (ISITICI TABLA) DİJİTAL - 3030 cm","SH-5C","355","",ISOTEX
"ISOTEX HOT PLATE (ISITICI TABLA) DİJİTAL - 3545 cm","SH-6C","407","",ISOTEX
"ISOTEX HOT PLATE (ISITICI TABLA) DİJİTAL - 4060 cm","SH-9C","629","",ISOTEX
"ISOTEX HOT PLATE (ISITICI TABLA) ANALOG SERAMİK - 4040 cm","ISOTEX-08","525","",ISOTEX
"ISOTEX HOT PLATE (ISITICI TABLA) ANALOG SERAMİK - 4060 cm","ISOTEX-09","1080","",ISOTEX
"ISOTEX FİLİTRASYON MANIFOLTU - 3'lü Çelik","","1222","",ISOTEX
"ISOTEX FİLİTRASYON MANIFOLTU - 6'lı Çelik","","1960","",ISOTEX
"CONTHAN ÇALKALAYICI - DİJİTAL","DSR-10","1509","",CONTHAN
"CONTHAN ÇALKALAYICI - ANALOG","TYZD-III","302","",CONTHAN
"CONTHAN ÇALKALAYICI - DİJİTAL","TYZD-IIIA","372","",CONTHAN
"DRAGON DİJİTAL BÜRET ŞİŞE ÜSTÜ - 50ML","ISTX-50","880","",DRAGON
"Microlit DİSPENSER BEATUS MODEL - 0,25-2,5ML","BEAT-2,5 ML","185","",Microlit
"Microlit DİSPENSER BEATUS MODEL - 0,5-5ML","BEAT-5 ML","185","",Microlit
"Microlit DİSPENSER BEATUS MODEL - 1-10ML","BEAT-10 ML","185","",Microlit
"Microlit DİSPENSER BEATUS MODEL - 2,5-30ML","BEAT-30 ML","225","",Microlit
"Microlit DİSPENSER BEATUS MODEL - 5-60ML","BEAT-60 ML","225","",Microlit
"Microlit DİSPENSER BEATUS MODEL - 10-100ML","BEAT-100 ML","265","",Microlit
"Microlit DİSPENSER LENTUS MODEL - 0,25-2,5ML","LNT-HF-2,5 ML","650","",Microlit
"Microlit DİSPENSER LENTUS MODEL - 0.5-5ML","LNT-HF-5 ML","650","",Microlit
"Microlit DİSPENSER LENTUS MODEL - 1-10ML","LNT-HF-10 ML","650","",Microlit
"Microlit DİSPENSER LENTUS MODEL - 2,5-30ML","LNT-HF-30 ML","890","",Microlit
"Microlit DİSPENSER LENTUS MODEL - 5-60ML","LNT-HF-60 ML","890","",Microlit
"Microlit OTOMATİK PİPET - 0,2-2,0μl","NRO-2","59","",Microlit
"Microlit OTOMATİK PİPET - 0,5-10μl","NRO-10","59","",Microlit
"Microlit OTOMATİK PİPET - 2-20μl","NRO-20","59","",Microlit
"Microlit OTOMATİK PİPET - 5-50μl","NRO-50","59","",Microlit
"Microlit OTOMATİK PİPET - 10-100μl","NRO-100","59","",Microlit
"Microlit OTOMATİK PİPET - 20-200μl","NRO-200","59","",Microlit
"Microlit OTOMATİK PİPET - 100-1000μl","NRO-1000","59","",Microlit
"Microlit OTOMATİK PİPET - 500-5000μl","NRO-5000","59","",Microlit
"Microlit OTOMATİK PİPET - 1000-10000μl","NRO-10000","59","",Microlit
"Microlit OTOMATİK PİPET RBO MODEL 8 KANALLI - 0,5-10μl","NRO-E-10","215","",Microlit
"Microlit OTOMATİK PİPET RBO MODEL 8 KANALLI - 0,2-20μl","NRO-E-20","215","",Microlit
"Microlit OTOMATİK PİPET RBO MODEL 8 KANALLI - 0,5-50μl","NRO-E-50","215","",Microlit
"Microlit OTOMATİK PİPET RBO MODEL 8 KANALLI - 10-100μl","NRO-E-100","215","",Microlit
"Microlit OTOMATİK PİPET RBO MODEL 8 KANALLI - 20-200μl","NRO-E-200","215","",Microlit
"Microlit OTOMATİK PİPET RBO MODEL 8 KANALLI - 40-300μl","NRO-E-300","215","",Microlit
"Microlit OTOMATİK PİPET RBO MODEL 12 KANALLI - 0,5-10μl","NRO-T-10","235","",Microlit
"Microlit OTOMATİK PİPET RBO MODEL 12 KANALLI - 0,2-20μl","NRO-T-20","235","",Microlit
"Microlit OTOMATİK PİPET RBO MODEL 12 KANALLI - 0,5-50μl","NRO-T-50","235","",Microlit
"Microlit OTOMATİK PİPET RBO MODEL 12 KANALLI - 10-100μl","NRO-T-100","235","",Microlit
"Microlit OTOMATİK PİPET RBO MODEL 12 KANALLI - 20-200μl","NRO-T-200","235","",Microlit
"Microlit OTOMATİK PİPET RBO MODEL 12 KANALLI - 40-300μl","NRO-T-300","235","",Microlit
"Microlit OTOMATİK PİPET STANDI - 6'lı","MSK-NRO-04","45","",Microlit
"Microlit ELEKTRONİK PİPET AQUA MODEL - 0.2-10μl","AQS-10","420","",Microlit
"Microlit ELEKTRONİK PİPET AQUA MODEL - 0.5-20μl","AQS-20","420","",Microlit
"Microlit ELEKTRONİK PİPET AQUA MODEL - 2-100μl","AQS-100","420","",Microlit
"Microlit ELEKTRONİK PİPET AQUA MODEL - 5-200μl","AQS-200","420","",Microlit
"Microlit ELEKTRONİK PİPET AQUA MODEL - 10-300μl","AQS-300","420","",Microlit
"Microlit ELEKTRONİK PİPET AQUA MODEL - 10-500μl","AQS-500","420","",Microlit
"Microlit ELEKTRONİK PİPET AQUA MODEL - 50-1000μl","AQS-1000","420","",Microlit
"Microlit ELEKTRONİK PİPET AQUA MODEL - 0.1-5ml","AQS-5000","420","",Microlit
"Microlit ELEKTRONİK PİPET AQUA MODEL - 1-10ml","AQS-10000","420","",Microlit
"Microlit PIPET POMPASI EASYAID Model","EA-B","155","",Microlit
"DİJİTAL BÜRET ŞİŞE ÜSTÜ - 50ML","","980","",Microlit
"E- BÜRET + DİSPENSER ŞİŞE ÜSTÜ - 50ML","","1200","",Microlit
"AYIRMA HUNİSİ - Armudi Tip Cam Musluklu 50 ml","SH-64-050","10.54","",Saha Lab
"AYIRMA HUNİSİ - Armudi Tip Cam Musluklu 100 ml","SH-64-100","10.93","",Saha Lab
"AYIRMA HUNİSİ - Armudi Tip Cam Musluklu 250 ml","SH-64-250","12.67","",Saha Lab
"AYIRMA HUNİSİ - Armudi Tip Cam Musluklu 500 ml","SH-64-500","15.84","",Saha Lab
"AYIRMA HUNİSİ - Armudi Tip Cam Musluklu 1000 ml","SH-64-1000","18.19","",Saha Lab
"AYIRMA HUNİSİ - Armudi Tip Cam Musluklu 2000 ml","SH-64-2000","28.78","",Saha Lab
"BAGET - cam (çubuk) 6200mm","SH-36-6200","0.7","",Saha Lab
"BAGET - cam (çubuk) 8250mm","SH-36-8250","0.77","",Saha Lab
"BALON - kısa boyunlu dibi düz 25 ml","SH-06-025","5.53","",Saha Lab
"BALON - kısa boyunlu dibi düz 50 ml","SH-06-050","5.53","",Saha Lab
"BALON - kısa boyunlu dibi düz 100 ml","SH-06-100","5.53","",Saha Lab
"BALON - kısa boyunlu dibi düz 250 ml","SH-06-250","5.53","",Saha Lab
"BALON - kısa boyunlu dibi düz 500 ml","SH-06-500","5.82","",Saha Lab
"BALON - kısa boyunlu dibi düz 1000 ml","SH-06-1000","11.1","",Saha Lab
"BALON - kısa boyunlu dibi düz 2000 ml","SH-06-2000","21.6","",Saha Lab
"BALON - kısa boyunlu dibi düz 3000 ml","SH-06-3000","38.8","",Saha Lab
"BALON - kısa boyunlu dibi düz 4000 ml","SH-06-4000","54.79","",Saha Lab
"BALON - kısa boyunlu dibi düz 5000 ml","SH-06-5000","59.17","",Saha Lab
"BALON - kısa boyunlu dibi düz 6000 ml","SH-06-6000","63.56","",Saha Lab
"BALON - kısa boyunlu dibi düz 10000 ml","SH-06-1001","98.65","",Saha Lab
"BALON - kısa boyunlu dibi düz 20000 ml","SH-06-1002","383.57","",Saha Lab
"BALON - kısa boyunlu dibi düz şilifli 50 ml","SH-07-050","6.97","",Saha Lab
"BALON - kısa boyunlu dibi düz şilifli 100 ml","SH-07-100","7.54","",Saha Lab
"BALON - kısa boyunlu dibi düz şilifli 250 ml","SH-07-250","8.65","",Saha Lab
"BALON - kısa boyunlu dibi düz şilifli 500 ml","SH-07-500","9.16","",Saha Lab
"BALON - kısa boyunlu dibi düz şilifli 1000 ml","SH-07-1000","11.21","",Saha Lab
"BALON - kısa boyunlu dibi düz şilifli 2000 ml","SH-07-2000","30.77","",Saha Lab
"BALON - dibi yuvarlak iki boyunlu şilifli 50 ml","SH-10-050","14.66","",Saha Lab
"BALON - dibi yuvarlak iki boyunlu şilifli 100 ml","SH-10-100","16.5","",Saha Lab
"BALON - dibi yuvarlak iki boyunlu şilifli 250 ml","SH-10-250","16.5","",Saha Lab
"BALON - dibi yuvarlak iki boyunlu şilifli 500 ml","SH-10-500","20.96","",Saha Lab
"BALON - dibi yuvarlak iki boyunlu şilifli 1000 ml","SH-10-1000","27.96","",Saha Lab
"BALON - dibi yuvarlak iki boyunlu şilifli 2000 ml","SH-10-2000","35.9","",Saha Lab
"BALON - dibi yuvarlak üç boyunlu şilifli 50 ml","SH-12-050","22.34","",Saha Lab
"BALON - dibi yuvarlak üç boyunlu şilifli 100 ml","SH-12-100","22.34","",Saha Lab
"BALON - dibi yuvarlak üç boyunlu şilifli 250 ml","SH-12-250","27.82","",Saha Lab
"BALON - dibi yuvarlak üç boyunlu şilifli 500 ml","SH-12-500","29.59","",Saha Lab
"BALON - dibi yuvarlak üç boyunlu şilifli 1000 ml","SH-12-1000","33.56","",Saha Lab
"BALON - dibi yuvarlak üç boyunlu şilifli 2000 ml","SH-12-2000","40.22","",Saha Lab
"BALON - Le Chatalier 1/10 taksimatlı 12,5/21 şilifli 250 ml","SH-12-1-250","48.01","",Saha Lab
"BALON - Kjeldahl 50 ml","SH-17-050","7.7","",Saha Lab
"BALON - Kjeldahl 100 ml","SH-17-100","9.62","",Saha Lab
"BALON - Kjeldahl 250 ml","SH-17-250","11.68","",Saha Lab
"BALON - Kjeldahl 500 ml","SH-17-500","14.08","",Saha Lab
"BALON - Kjeldahl 750 ml","SH-17-750","19.99","",Saha Lab
"BALON - Kjeldahl 1000 ml","SH-17-1000","21.12","",Saha Lab
"BALON JOJE - plastik kapaklı pyrex 3.3 İmalat A kalite 5 ml","SH-46-005","7.44","",Saha Lab
"BALON JOJE - plastik kapaklı pyrex 3.3 İmalat A kalite 10 ml","SH-46-010","7.44","",Saha Lab
"BALON JOJE - plastik kapaklı pyrex 3.3 İmalat A kalite 25 ml","SH-46-025","7.44","",Saha Lab
"BALON JOJE - plastik kapaklı pyrex 3.3 İmalat A kalite 50 ml","SH-46-050","7.44","",Saha Lab
"BALON JOJE - plastik kapaklı pyrex 3.3 İmalat A kalite 100 ml","SH-46-100","7.49","",Saha Lab
"BALON JOJE - plastik kapaklı pyrex 3.3 İmalat A kalite 250 ml","SH-46-250","10.09","",Saha Lab
"BALON JOJE - plastik kapaklı pyrex 3.3 İmalat A kalite 200 ml","SH-46-200","12.52","",Saha Lab
"BALON JOJE - plastik kapaklı pyrex 3.3 İmalat A kalite 500 ml","SH-46-500","13.1","",Saha Lab
"BALON JOJE - plastik kapaklı pyrex 3.3 İmalat A kalite 1000 ml","SH-46-1000","16.75","",Saha Lab
"BALON JOJE - plastik kapaklı pyrex 3.3 İmalat A kalite 2000 ml","SH-46-2000","23.47","",Saha Lab
"BALON JOJE - plastik kapaklı pyrex 3.3 İmalat A kalite 3000 ml","SH-46-3000","39.55","",Saha Lab
"BALON JOJE - plastik kapaklı pyrex 3.3 İmalat A kalite 5000ml","SH-46-5000","151","",Saha Lab
"BALON JOJE - AMBER Renkli 25ml","SH-46-1-025","6.14","",Saha Lab
"BALON JOJE - AMBER Renkli 50 ml","SH-46-1-050","6.64","",Saha Lab
"BALON JOJE - AMBER Renkli 100 ml","SH-46-1-100","7.92","",Saha Lab
"BALON JOJE - AMBER Renkli 250 ml","SH-46-1-250","10.24","",Saha Lab
"BALON JOJE - AMBER Renkli 500 ml","SH-46-1-500","12.48","",Saha Lab
"BALON JOJE - AMBER Renkli 1000 ml","SH-46-1-1000","17.48","",Saha Lab
"BALON JOJE - plastik kapaklı İthal 10 ml","SH-46-2-010","4.39","",Saha Lab
"BALON JOJE - plastik kapaklı İthal 25 ml","SH-46-2-025","4.74","",Saha Lab
"BALON JOJE - plastik kapaklı İthal 50 ml","SH-46-2-050","4.91","",Saha Lab
"BALON JOJE - plastik kapaklı İthal 100 ml","SH-46-2-100","5.09","",Saha Lab
"BALON JOJE - plastik kapaklı İthal 250 ml","SH-46-2-250","7.28","",Saha Lab
"BALON JOJE - plastik kapaklı İthal 500 ml","SH-46-2-500","8.64","",Saha Lab
"BALON JOJE - plastik kapaklı İthal 1000 ml","SH-46-2-1000","15.21","",Saha Lab
"BEHER - kısa form dereceli 10 ml","SH-01-010","1.25","",Saha Lab
"BEHER - kısa form dereceli 25 ml","SH-01-025","1.25","",Saha Lab
"BEHER - kısa form dereceli 50 ml","SH-01-050","1.31","",Saha Lab
"BEHER - kısa form dereceli 100 ml","SH-01-100","1.6","",Saha Lab
"BEHER - kısa form dereceli 150 ml","SH-01-150","1.76","",Saha Lab
"BEHER - kısa form dereceli 250 ml","SH-01-250","1.94","",Saha Lab
"BEHER - kısa form dereceli 400 ml","SH-01-400","3.09","",Saha Lab
"BEHER - kısa form dereceli 600 ml","SH-01-600","3.24","",Saha Lab
"BEHER - kısa form dereceli 800 ml","SH-01-800","3.86","",Saha Lab
"BEHER - kısa form dereceli 1000 ml","SH-01-1000","5.61","",Saha Lab
"BEHER - kısa form dereceli 2000 ml","SH-01-2000","13.37","",Saha Lab
"BEHER - kısa form dereceli 3000 ml","SH-01-3000","20.83","",Saha Lab
"BEHER - kısa form dereceli 5000 ml","SH-01-5000","45.77","",Saha Lab
"BEHER - kısa form dereceli 10000ml","SH-01-0001","115.16","",Saha Lab
"BÜRET - cam musluklu 10 ml","SH-48-10","8.83","",Saha Lab
"BÜRET - cam musluklu 25 ml","SH-48-25","10.3","",Saha Lab
"BÜRET - cam musluklu 50 ml","SH-48-50","11.26","",Saha Lab
"BÜRET - cam musluklu 100 ml","SH-48-100","14.35","",Saha Lab
"BÜRET - Teflon musluklu 10 ml","SH-49-10","18.88","",Saha Lab
"BÜRET - Teflon musluklu 25 ml","SH-49-25","18.88","",Saha Lab
"BÜRET - Teflon musluklu 50 ml","SH-49-50","20.18","",Saha Lab
"BÜRET - Teflon musluklu 100 ml","SH-49-100","25.79","",Saha Lab
"BÜRET - düz Amber renkli cam musluklu 10 ml","SH-48-1-10","29.3","",Saha Lab
"BÜRET - düz Amber renkli cam musluklu 25 ml","SH-48-1-25","36.59","",Saha Lab
"BÜRET - düz Amber renkli cam musluklu 50 ml","SH-48-1-50","43.99","",Saha Lab
"OTOMATİK BÜRET - tek cam musluklu 10 ml","SH-50-1-10","80.74","",Saha Lab
"OTOMATİK BÜRET - tek cam musluklu 25 ml","SH-50-1-25","82.96","",Saha Lab
"OTOMATİK BÜRET - tek cam musluklu 50 ml","SH-50-1-50","85.22","",Saha Lab
"OTOMATİK BÜRET - tek cam musluklu 100ml","SH-50-1-100","125.63","",Saha Lab
"OTOMATİK BÜRET - tek teflon musluklu 10 ml","SH-50T-1-10","104.84","",Saha Lab
"OTOMATİK BÜRET - tek teflon musluklu 25 ml","SH-50T-1-25","107.11","",Saha Lab
"OTOMATİK BÜRET - tek teflon musluklu 50 ml","SH-50T-1-50","109.38","",Saha Lab
"OTOMATİK BÜRET - tek teflon musluklu 100ml","SH-50T-1-100","149.78","",Saha Lab
"OTOMATİK BÜRET - çift cam musluklu 10 ml","SH-50-10","91.49","",Saha Lab
"OTOMATİK BÜRET - çift cam musluklu 25 ml","SH-50-25","99.1","",Saha Lab
"OTOMATİK BÜRET - çift cam musluklu 50 ml","SH-50-50","104.78","",Saha Lab
"OTOMATİK BÜRET - çift cam musluklu 100 ml","SH-50-100","135.44","",Saha Lab
"OTOMATİK BÜRET - çift teflon musluklu 10 ml","SH-50T-10","130.9","",Saha Lab
"OTOMATİK BÜRET - çift teflon musluklu 25 ml","SH-50T-25","138.24","",Saha Lab
"OTOMATİK BÜRET - çift teflon musluklu 50 ml","SH-50T-50","143.71","",Saha Lab
"OTOMATİK BÜRET - çift teflon musluklu 100 ml","SH-50T-100","173.24","",Saha Lab
"OTOMATİK BÜRET - amber tek musluklu 10 ml","SH-50-1-10-A","101.86","",Saha Lab
"OTOMATİK BÜRET - amber tek musluklu 25 ml","SH-50-1-25-A","108.95","",Saha Lab
"OTOMATİK BÜRET - amber tek musluklu 50 ml","SH-50-1-50-A","126.73","",Saha Lab
"OTOMATİK BÜRET - amber çift musluklu 10 ml","SH-50-10-A","110.93","",Saha Lab
"OTOMATİK BÜRET - amber çift musluklu 25 ml","SH-50-25-A","118.22","",Saha Lab
"OTOMATİK BÜRET - amber çift musluklu 50 ml","SH-50-50-A","135.79","",Saha Lab
"DAMLATMA HUNİSİ - Silindirik tip 19/26 NS 100 ml","SH-67-100","28.61","",Saha Lab
"DAMLATMA HUNİSİ - Silindirik tip 29/32 NS 250 ml","SH-67-250","30.29","",Saha Lab
"DAMLATMA HUNİSİ - Silindirik tip 29/32 NS 500 ml","SH-67-500","35.74","",Saha Lab
"DAMLATMA HUNİSİ - Silindirik tip 29/32 NS 1000 ml","SH-67-1000","41.78","",Saha Lab
"DAMLATMA HUNİSİ - Silindirik tip Basınç Borulu 100 ml","SH-68-100","31.94","",Saha Lab
"DAMLATMA HUNİSİ - Silindirik tip Basınç Borulu 250 ml","SH-68-250","33.91","",Saha Lab
"DAMLATMA HUNİSİ - Silindirik tip Basınç Borulu 500 ml","SH-68-500","40.18","",Saha Lab
"DAMLATMA HUNİSİ - Silindirik tip Basınç Borulu 1000 ml","SH-68-1000","52.39","",Saha Lab
"DESİKATÖR - düz 210 mm","SH-42-210","51.39","",Saha Lab
"DESİKATÖR - düz 240 mm","SH-42-240","65.16","",Saha Lab
"DESİKATÖR - düz 300 mm","SH-42-300","110.26","",Saha Lab
"DESİKATÖR - vakumlu 210 mm","SH-43-210","70.21","",Saha Lab
"DESİKATÖR - vakumlu 240 mm","SH-43-240","104.02","",Saha Lab
"DESİKATÖR - vakumlu 300 mm","SH-43-300","139.09","",Saha Lab
"ERLEN - dereceli 25 ml","SH-02-025","1.58","",Saha Lab
"ERLEN - dereceli 50 ml","SH-02-050","1.97","",Saha Lab
"ERLEN - dereceli 100 ml","SH-02-100","2.27","",Saha Lab
"ERLEN - dereceli 150 ml","SH-02-150","2.66","",Saha Lab
"ERLEN - dereceli 250 ml","SH-02-250","3.23","",Saha Lab
"ERLEN - dereceli 300 ml","SH-02-300","4.53","",Saha Lab
"ERLEN - dereceli 500 ml","SH-02-500","5.28","",Saha Lab
"ERLEN - dereceli 1000 ml","SH-02-1000","8.97","",Saha Lab
"ERLEN - dereceli 2000 ml","SH-02-2000","15.07","",Saha Lab
"ERLEN - dereceli 5000 ml","SH-02-5000","44.16","",Saha Lab
"ERLEN - dereceli geniş boyunlu 100 ml","SH-03-100","6.06","",Saha Lab
"ERLEN - dereceli geniş boyunlu 150 ml","SH-03-150","6.48","",Saha Lab
"ERLEN - dereceli geniş boyunlu 250 ml","SH-03-250","8.57","",Saha Lab
"ERLEN - dereceli geniş boyunlu 300 ml","SH-03-300","9.62","",Saha Lab
"ERLEN - dereceli geniş boyunlu 500 ml","SH-03-500","12.04","",Saha Lab
"ERLEN - dereceli geniş boyunlu 1000 ml","SH-03-1000","12.76","",Saha Lab
"ERLEN - şilifli 19/26 NS 50 ml","SH-04-050","6.97","",Saha Lab
"ERLEN - şilifli 19/26 NS 100 ml","SH-04-100","6.97","",Saha Lab
"ERLEN - şilifli 29/32 NS 250 ml","SH-04-250","7.55","",Saha Lab
"ERLEN - şilifli 29/32 NS 500 ml","SH-04-500","10.46","",Saha Lab
"ERLEN - şilifli 29/32 NS 1000 ml","SH-04-1000","13.12","",Saha Lab
"ERLEN - Nuche 100 ml","SH-58-100","9.19","",Saha Lab
"ERLEN - Nuche 250 ml","SH-58-250","9.74","",Saha Lab
"ERLEN - Nuche 500 ml","SH-58-500","11.24","",Saha Lab
"ERLEN - Nuche 1000 ml","SH-58-1000","13.68","",Saha Lab
"ERLEN - Nuche 2000 ml","SH-58-2000","22.34","",Saha Lab
"GAZ YIKAMA ŞİŞESİ - başlığı ile birlikte 100 ml","SH-61-100","17.16","",Saha Lab
"GAZ YIKAMA ŞİŞESİ - başlığı ile birlikte 250 ml","SH-61-250","21.17","",Saha Lab
"GAZ YIKAMA ŞİŞESİ - başlığı ile birlikte 500 ml","SH-61-500","29.28","",Saha Lab
"GAZ YIKAMA ŞİŞESİ - başlığı ile birlikte 1000 ml","SH-61-1000","63.36","",Saha Lab
"HUNİ - Cam Huni kısa saplı 40 mm","SH-55-040","1.39","",Saha Lab
"HUNİ - Cam Huni kısa saplı 60 mm","SH-55-060","2.12","",Saha Lab
"HUNİ - Cam Huni kısa saplı 75 mm","SH-55-075","2.5","",Saha Lab
"HUNİ - Cam Huni kısa saplı 100 mm","SH-55-100","2.85","",Saha Lab
"HUNİ - Cam Huni kısa saplı 120 mm","SH-55-120","5.29","",Saha Lab
"HUNİ - Cam Huni kısa saplı 150 mm","SH-55-150","10.51","",Saha Lab
"HUNİ - Cam Huni kısa saplı 200 mm","SH-55-200","44.46","",Saha Lab
"HUNİ - Kantitatif (Oluklu) 60mm","SH-56-60","5.82","",Saha Lab
"HUNİ - Kantitatif (Oluklu) 75mm","SH-56-75","6.91","",Saha Lab
"HUNİ - Imhoff Hunisi cam 1000 ml","SH-55-01","55.28","",Saha Lab
"KROZE - Goache 30 mm porozite 1","SH-62-3010","10.76","",Saha Lab
"KROZE - Goache 30 mm porozite 2","SH-62-3020","10.76","",Saha Lab
"KROZE - Goache 30 mm porozite 3","SH-62-3030","10.76","",Saha Lab
"KROZE - Goache 30 mm porozite 4","SH-62-3040","11.55","",Saha Lab
"KROZE - Goache 50 mm porozite 1","SH-62-5010","12.16","",Saha Lab
"KROZE - Goache 50 mm porozite 2","SH-62-5020","12.16","",Saha Lab
"KROZE - Goache 50 mm porozite 3","SH-62-5030","12.16","",Saha Lab
"KROZE - Goache 50 mm porozite 4","SH-62-5040","12.85","",Saha Lab
"LAM - 50'lik kutu düz kesim 2676mm","SH-133-01","1.16","",Saha Lab
"LAM - 50'lik kutu Kenarı rodajlı 2676mm","SH-133-02","1.37","",Saha Lab
"LAM - 50'lik kutu 1/3 tek tarafı rodajlı 2676mm","SH-133-03","1.43","",Saha Lab
"LAM - 50'lik kutu 1/3 iki tarafı rodajlı 2676mm","SH-133-04","1.68","",Saha Lab
"LAM - 50'lik kutu 1/3 renkli","SH-133-05","3.42","",Saha Lab
"LAM - Thoma","SH-204-001","10.53","",Saha Lab
"LAMEL - 100'lük kt HDA Marka 1818","SH-134-1818","0.47","",Saha Lab
"LAMEL - 100'lük kt HDA Marka 2020","SH-134-2020","0.5","",Saha Lab
"LAMEL - 100'lük kt HDA Marka 2222","SH-134-2222","0.55","",Saha Lab
"LAMEL - 100'lük kt HDA Marka 2424","SH-134-2424","0.66","",Saha Lab
"LAMEL - 100'lük kt HDA Marka 2432","SH-134-2432","0.98","",Saha Lab
"LAMEL - 100'lük kt HDA Marka 2450","SH-134-2450","1.34","",Saha Lab
"LAMEL - 100'lük kt HDA Marka 2460","SH-134-2460","1.76","",Saha Lab
"MEZÜR - uzun form cam 10 ml","SH-44-010","2.04","",Saha Lab
"MEZÜR - uzun form cam 25 ml","SH-44-025","2.67","",Saha Lab
"MEZÜR - uzun form cam 50 ml","SH-44-050","3.01","",Saha Lab
"MEZÜR - uzun form cam 100 ml","SH-44-100","3.38","",Saha Lab
"MEZÜR - uzun form cam 250 ml","SH-44-250","6.65","",Saha Lab
"MEZÜR - uzun form cam 500 ml","SH-44-500","9.1","",Saha Lab
"MEZÜR - uzun form cam 1000 ml","SH-44-1000","15.57","",Saha Lab
"MEZÜR - uzun form cam 2000 ml","SH-44-2000","24.61","",Saha Lab
"MEZÜR - uzun form altıgen taban 10 ml","SH-44-1-010-A","2.93","",Saha Lab
"MEZÜR - uzun form altıgen taban 25 ml","SH-44-1-025-A","3.35","",Saha Lab
"MEZÜR - uzun form altıgen taban 50 ml","SH-44-1-050-A","3.54","",Saha Lab
"MEZÜR - uzun form altıgen taban 100 ml","SH-44-1-100-A","4.16","",Saha Lab
"MEZÜR - uzun form altıgen taban 250 ml","SH-44-1-250-A","7.99","",Saha Lab
"MEZÜR - uzun form altıgen taban 500 ml","SH-44-1-500-A","11.94","",Saha Lab
"MEZÜR - uzun form altıgen taban 1000 ml","SH-44-1-1000-A","19.64","",Saha Lab
"MEZÜR - uzun form altıgen taban 2000 ml","SH-44-1-2000-A","32","",Saha Lab
"MEZÜR - çalkalama şilifli kapaklı 10 ml","SH-45-010","7.06","",Saha Lab
"MEZÜR - çalkalama şilifli kapaklı 25 ml","SH-45-025","7.61","",Saha Lab
"MEZÜR - çalkalama şilifli kapaklı 50 ml","SH-45-050","9.12","",Saha Lab
"MEZÜR - çalkalama şilifli kapaklı 100 ml","SH-45-100","10.67","",Saha Lab
"MEZÜR - çalkalama şilifli kapaklı 250ml","SH-45-250","15.53","",Saha Lab
"MEZÜR - çalkalama şilifli kapaklı 500ml","SH-45-500","19.31","",Saha Lab
