Ürün Adı,Ürün Kodu,Fiyat (USD),CAS Numarası,Marka
"DİJİTAL ÇOKLU BALON ISITICI - 500 ml * 2","HMD-III-2-500","800","",Biobase
"DİJİTAL ÇOKLU BALON ISITICI - 1000 ml * 2","HMD-III-2-1000","850","",Biobase
"DİJİTAL ÇOKLU BALON ISITICI - 100 ml * 4","HMD-III-4-100","1350","",Biobase
"DİJİTAL ÇOKLU BALON ISITICI - 250 ml * 4","HMD-III-4-250","1450","",Biobase
"DİJİTAL ÇOKLU BALON ISITICI - 500 ml * 4","HMD-III-4-500","1600","",Biobase
"DİJİTAL ÇOKLU BALON ISITICI - 1000 ml * 4","HMD-III-4-1000","1850","",Biobase
"DİJİTAL ÇOKLU BALON ISITICI - 100 ml * 6","HMD-III-6-100","1850","",Biobase
"DİJİTAL ÇOKLU BALON ISITICI - 250 ml * 6","HMD-III-6-250","1950","",Biobase
"DİJİTAL ÇOKLU BALON ISITICI - 500 ml * 6","HMD-III-6-500","2250","",Biobase
"DİJİTAL ÇOKLU BALON ISITICI - 1000 ml * 6","HMD-III-6-1000","2750","",Biobase
"MEKANİK KARIŞTIRICI - 20 Litre 0-2200 rpm","OS20-S","1360","",Biobase
"VORTEX KARIŞTIRICI - 0~2500 RPM Analog","MX-F","330","",Biobase
"MİKROPLAKA KARIŞTIRICI - 0.5 Kg Maks Ağırlık","MX-M","830","",Biobase
"SİLİNDİR KARIŞTIRICI - Analog 0-70 RPM","MX-T6-S","920","",Biobase
"SİLİNDİR KARIŞTIRICI - Dijital 10~70 RPM","MX-T6-PRO","1610","",Biobase
"DÖNER KARIŞTIRICI - Analog 0~80 RPM","MX-RD-E","1150","",Biobase
"DÖNER KARIŞTIRICI - Dijital 10-70 RPM","MX-RD-PRO","1790","",Biobase
"DÖNER KARIŞTIRICI - Dijital 10~70 RPM","MX-RL-PRO","1980","",Biobase
"POMPA - ROTARY SLICE VAKUM 25 L/S","XP-25","7990","",Biobase
"POMPA - ROTARY SLICE VAKUM 0.5 L/S","XP-0.5","4660","",Biobase
